Início dos relatórios;Término dos relatórios;Nome da campanha;Veiculação da campanha;Orçamento do conjunto de anúncios;Tipo de orçamento do conjunto de anúncios;Configuração de atribuição;Resultados;Indicador de resultados;Alcance;Impressões;Custo por resultados;Valor gasto (BRL);Término;Frequência;Cliques no link únicos;CTR (todos);Ativações de apps;Custo por ativação de app (BRL);Ativações do app únicas;Custo por ativação do app única (BRL);Eventos personalizados;Sales Event(Only);ARR;ARR(One-time actv);Activation Sales;One-time Activation Sales;ROAS Transacional;IQ Transacional;ROAS Faturamento;IQ Faturamento
2022-06-09;2022-06-09;Traffic||Branding geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-03-04;0;;0;;;;;;;;;;;;;;
2022-06-09;2022-06-09;Traffic||Branding geral||Janeiro;not_delivering;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-01-31;0;;0;;;;;;;;;;;;;;
2022-06-09;2022-06-09;Traffic||Branding geral||Dezembro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-31;0;;0;;;;;;;;;;;;;;
2022-06-09;2022-06-09;Traffic||Branding geral||Dezembro;archived;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-09;0;;0;;;;;;;;;;;;;;
2022-06-08;2022-06-08;Traffic||Branding geral||Dinamic_full_time;active;130;Diário;Clique de 7 dias ou visualização de 1 dia;102;actions:link_click;24631;38763;1,23402;125,87;Contínuo;1,573749;101;0,371488;6513;0,019326;2780;0,045277;827;735,2857;0,264423;0,112866;0,112895;0,264491;25734,9995;204,456975;1286,749975;10,222849
2022-06-08;2022-06-08;Traffic||Branding geral||Maio(Dinamic_test);completed;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-06-05;0;;0;111;0;39;0;14;12,4474;;;0,112139;0,319164;435,659;;21,78295;
2022-06-08;2022-06-08;Traffic||Prospection ||Limoeiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-09;0;;0;;;;;;;;;;;;;;
2022-06-08;2022-06-08;Retention || Camp_apoio || Teste;completed;500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-07;0;;0;;;;;;;;;;;;;;
2022-06-08;2022-06-08;Traffic||Branding geral||Abril;completed;1500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-02;0;;0;;;;;;;;;;;;;;
2022-06-08;2022-06-08;Traffic||Branding geral||Março;not_delivering;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-04-01;0;;0;;;;;;;;;;;;;;
2022-06-08;2022-06-08;App installs||Marketing_geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 1 dia ou visualização de 1 dia;;;0;0;;0;2022-02-19;0;;0;;;;;;;;;;;;;;
2022-06-08;2022-06-08;Traffic||Branding geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-03-04;0;;0;;;;;;;;;;;;;;
2022-06-08;2022-06-08;Traffic||Branding geral||Janeiro;not_delivering;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-01-31;0;;0;;;;;;;;;;;;;;
2022-06-08;2022-06-08;Traffic||Branding geral||Dezembro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-31;0;;0;;;;;;;;;;;;;;
2022-06-08;2022-06-08;Traffic||Branding geral||Dezembro;archived;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-09;0;;0;;;;;;;;;;;;;;
2022-06-07;2022-06-07;Traffic||Branding geral||Dinamic_full_time;active;130;Diário;Clique de 7 dias ou visualização de 1 dia;114;actions:link_click;22856;39285;1,133158;129,18;Contínuo;1,718805;108;0,389462;4963;0,026029;2142;0,060308;585;520,1235;0,217142;0,093717;0,1048;0,242821;18204,3225;140,922144;910,216125;7,046107
2022-06-07;2022-06-07;Traffic||Branding geral||Maio(Dinamic_test);completed;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-06-05;0;;0;147;0;50;0;22;19,5602;;;0,133063;0,391204;684,607;;34,23035;
2022-06-07;2022-06-07;Traffic||Prospection ||Limoeiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-09;0;;0;;;;;;;;;;;;;;
2022-06-07;2022-06-07;Retention || Camp_apoio || Teste;completed;500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-07;0;;0;;;;;;;;;;;;;;
2022-06-07;2022-06-07;Traffic||Branding geral||Abril;completed;1500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-02;0;;0;;;;;;;;;;;;;;
2022-06-07;2022-06-07;Traffic||Branding geral||Março;not_delivering;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-04-01;0;;0;;;;;;;;;;;;;;
2022-06-07;2022-06-07;App installs||Marketing_geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 1 dia ou visualização de 1 dia;;;0;0;;0;2022-02-19;0;;0;;;;;;;;;;;;;;
2022-06-07;2022-06-07;Traffic||Branding geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-03-04;0;;0;;;;;;;;;;;;;;
2022-06-07;2022-06-07;Traffic||Branding geral||Janeiro;not_delivering;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-01-31;0;;0;;;;;;;;;;;;;;
2022-06-07;2022-06-07;Traffic||Branding geral||Dezembro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-31;0;;0;;;;;;;;;;;;;;
2022-06-07;2022-06-07;Traffic||Branding geral||Dezembro;archived;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-09;0;;0;;;;;;;;;;;;;;
2022-06-06;2022-06-06;Traffic||Branding geral||Dinamic_full_time;active;130;Diário;Clique de 7 dias ou visualização de 1 dia;64;actions:link_click;16668;24958;1,224688;78,38;Contínuo;1,49736;63;0,356599;1720;0,04557;784;0,099974;206;183,1546;0,103192;0,047036;0,106485;0,233616;6410,411;81,78631;320,52055;4,089316
2022-06-06;2022-06-06;Traffic||Branding geral||Maio(Dinamic_test);completed;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-06-05;0;;0;191;0;71;0;32;28,4512;;;0,148959;0,400721;995,792;;49,7896;
2022-06-06;2022-06-06;Traffic||Prospection ||Limoeiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-09;0;;0;;;;;;;;;;;;;;
2022-06-06;2022-06-06;Retention || Camp_apoio || Teste;completed;500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-07;0;;0;;;;;;;;;;;;;;
2022-06-06;2022-06-06;Traffic||Branding geral||Abril;completed;1500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-02;0;;0;;;;;;;;;;;;;;
2022-06-06;2022-06-06;Traffic||Branding geral||Março;not_delivering;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-04-01;0;;0;;;;;;;;;;;;;;
2022-06-06;2022-06-06;App installs||Marketing_geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 1 dia ou visualização de 1 dia;;;0;0;;0;2022-02-19;0;;0;;;;;;;;;;;;;;
2022-06-06;2022-06-06;Traffic||Branding geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-03-04;0;;0;;;;;;;;;;;;;;
2022-06-06;2022-06-06;Traffic||Branding geral||Janeiro;not_delivering;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-01-31;0;;0;;;;;;;;;;;;;;
2022-06-06;2022-06-06;Traffic||Branding geral||Dezembro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-31;0;;0;;;;;;;;;;;;;;
2022-06-06;2022-06-06;Traffic||Branding geral||Dezembro;archived;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-09;0;;0;;;;;;;;;;;;;;
2022-06-05;2022-06-05;Traffic||Branding geral||Dinamic_full_time;active;130;Diário;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;Contínuo;0;;0;;;;;;;;;;;;;;
2022-06-05;2022-06-05;Traffic||Branding geral||Maio(Dinamic_test);completed;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;5;6;;0,01;2022-06-05;1,2;;0;2781;0,000004;1050;0,00001;310;275,621;556,2;210;0,099109;0,262496;9646,735;964673,5;482,33675;48233,675
2022-06-05;2022-06-05;Traffic||Prospection ||Limoeiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-09;0;;0;;;;;;;;;;;;;;
2022-06-05;2022-06-05;Retention || Camp_apoio || Teste;completed;500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-07;0;;0;;;;;;;;;;;;;;
2022-06-05;2022-06-05;Traffic||Branding geral||Abril;completed;1500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-02;0;;0;;;;;;;;;;;;;;
2022-06-05;2022-06-05;Traffic||Branding geral||Março;not_delivering;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-04-01;0;;0;;;;;;;;;;;;;;
2022-06-05;2022-06-05;App installs||Marketing_geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 1 dia ou visualização de 1 dia;;;0;0;;0;2022-02-19;0;;0;;;;;;;;;;;;;;
2022-06-05;2022-06-05;Traffic||Branding geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-03-04;0;;0;;;;;;;;;;;;;;
2022-06-05;2022-06-05;Traffic||Branding geral||Janeiro;not_delivering;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-01-31;0;;0;;;;;;;;;;;;;;
2022-06-05;2022-06-05;Traffic||Branding geral||Dezembro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-31;0;;0;;;;;;;;;;;;;;
2022-06-05;2022-06-05;Traffic||Branding geral||Dezembro;archived;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-09;0;;0;;;;;;;;;;;;;;
2022-06-04;2022-06-04;Traffic||Branding geral||Dinamic_full_time;active;130;Diário;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;Contínuo;0;;0;;;;;;;;;;;;;;
2022-06-04;2022-06-04;Traffic||Branding geral||Maio(Dinamic_test);completed;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;57;actions:link_click;12424;20025;1,03386;58,93;2022-06-05;1,6118;57;0,379526;4077;0,014454;1616;0,036467;500;444,55;0,328155;0,130071;0,109039;0,275093;15559,25;264,029357;777,9625;13,201468
2022-06-04;2022-06-04;Traffic||Prospection ||Limoeiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-09;0;;0;;;;;;;;;;;;;;
2022-06-04;2022-06-04;Retention || Camp_apoio || Teste;completed;500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-07;0;;0;;;;;;;;;;;;;;
2022-06-04;2022-06-04;Traffic||Branding geral||Abril;completed;1500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-02;0;;0;;;;;;;;;;;;;;
2022-06-04;2022-06-04;Traffic||Branding geral||Março;not_delivering;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-04-01;0;;0;;;;;;;;;;;;;;
2022-06-04;2022-06-04;App installs||Marketing_geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 1 dia ou visualização de 1 dia;;;0;0;;0;2022-02-19;0;;0;;;;;;;;;;;;;;
2022-06-04;2022-06-04;Traffic||Branding geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-03-04;0;;0;;;;;;;;;;;;;;
2022-06-04;2022-06-04;Traffic||Branding geral||Janeiro;not_delivering;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-01-31;0;;0;;;;;;;;;;;;;;
2022-06-04;2022-06-04;Traffic||Branding geral||Dezembro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-31;0;;0;;;;;;;;;;;;;;
2022-06-04;2022-06-04;Traffic||Branding geral||Dezembro;archived;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-09;0;;0;;;;;;;;;;;;;;
2022-06-03;2022-06-03;Traffic||Branding geral||Dinamic_full_time;active;130;Diário;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;Contínuo;0;;0;;;;;;;;;;;;;;
2022-06-03;2022-06-03;Traffic||Branding geral||Maio(Dinamic_test);completed;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;64;actions:link_click;14108;20495;0,848594;54,31;2022-06-05;1,452722;63;0,404977;4468;0,012155;1824;0,029775;559;497,0069;0,3167;0,129288;0,111237;0,272482;17395,2415;320,295369;869,762075;16,014768
2022-06-03;2022-06-03;Traffic||Prospection ||Limoeiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-09;0;;0;;;;;;;;;;;;;;
2022-06-03;2022-06-03;Retention || Camp_apoio || Teste;completed;500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-07;0;;0;;;;;;;;;;;;;;
2022-06-03;2022-06-03;Traffic||Branding geral||Abril;completed;1500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-02;0;;0;;;;;;;;;;;;;;
2022-06-03;2022-06-03;Traffic||Branding geral||Março;not_delivering;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-04-01;0;;0;;;;;;;;;;;;;;
2022-06-03;2022-06-03;App installs||Marketing_geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 1 dia ou visualização de 1 dia;;;0;0;;0;2022-02-19;0;;0;;;;;;;;;;;;;;
2022-06-03;2022-06-03;Traffic||Branding geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-03-04;0;;0;;;;;;;;;;;;;;
2022-06-03;2022-06-03;Traffic||Branding geral||Janeiro;not_delivering;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-01-31;0;;0;;;;;;;;;;;;;;
2022-06-03;2022-06-03;Traffic||Branding geral||Dezembro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-31;0;;0;;;;;;;;;;;;;;
2022-06-03;2022-06-03;Traffic||Branding geral||Dezembro;archived;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-09;0;;0;;;;;;;;;;;;;;
2022-06-02;2022-06-02;Traffic||Branding geral||Dinamic_full_time;active;130;Diário;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;Contínuo;0;;0;;;;;;;;;;;;;;
2022-06-02;2022-06-02;Traffic||Branding geral||Maio(Dinamic_test);completed;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;64;actions:link_click;17880;25601;0,950156;60,81;2022-06-05;1,431823;62;0,347643;5822;0,010445;2360;0,025767;751;667,7141;0,325615;0,131991;0,114688;0,28293;23369,9935;384,311684;1168,499675;19,215584
2022-06-02;2022-06-02;Traffic||Prospection ||Limoeiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-09;0;;0;;;;;;;;;;;;;;
2022-06-02;2022-06-02;Retention || Camp_apoio || Teste;completed;500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-07;0;;0;;;;;;;;;;;;;;
2022-06-02;2022-06-02;Traffic||Branding geral||Abril;completed;1500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-02;0;;0;;;;;;;;;;;;;;
2022-06-02;2022-06-02;Traffic||Branding geral||Março;not_delivering;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-04-01;0;;0;;;;;;;;;;;;;;
2022-06-02;2022-06-02;App installs||Marketing_geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 1 dia ou visualização de 1 dia;;;0;0;;0;2022-02-19;0;;0;;;;;;;;;;;;;;
2022-06-02;2022-06-02;Traffic||Branding geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-03-04;0;;0;;;;;;;;;;;;;;
2022-06-02;2022-06-02;Traffic||Branding geral||Janeiro;not_delivering;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-01-31;0;;0;;;;;;;;;;;;;;
2022-06-02;2022-06-02;Traffic||Branding geral||Dezembro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-31;0;;0;;;;;;;;;;;;;;
2022-06-02;2022-06-02;Traffic||Branding geral||Dezembro;archived;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-09;0;;0;;;;;;;;;;;;;;
2022-06-01;2022-06-01;Traffic||Branding geral||Dinamic_full_time;active;130;Diário;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;Contínuo;0;;0;;;;;;;;;;;;;;
2022-06-01;2022-06-01;Traffic||Branding geral||Maio(Dinamic_test);completed;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;87;actions:link_click;16208;24369;0,702184;61,09;2022-06-05;1,503517;83;0,4596;4969;0,012294;2160;0,028282;593;527,2363;0,306577;0,133268;0,106105;0,244091;18453,2705;302,066959;922,663525;15,103348
2022-06-01;2022-06-01;Traffic||Prospection ||Limoeiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-09;0;;0;;;;;;;;;;;;;;
2022-06-01;2022-06-01;Retention || Camp_apoio || Teste;completed;500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-07;0;;0;;;;;;;;;;;;;;
2022-06-01;2022-06-01;Traffic||Branding geral||Abril;completed;1500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-02;0;;0;;;;;;;;;;;;;;
2022-06-01;2022-06-01;Traffic||Branding geral||Março;not_delivering;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-04-01;0;;0;;;;;;;;;;;;;;
2022-06-01;2022-06-01;App installs||Marketing_geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 1 dia ou visualização de 1 dia;;;0;0;;0;2022-02-19;0;;0;;;;;;;;;;;;;;
2022-06-01;2022-06-01;Traffic||Branding geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-03-04;0;;0;;;;;;;;;;;;;;
2022-06-01;2022-06-01;Traffic||Branding geral||Janeiro;not_delivering;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-01-31;0;;0;;;;;;;;;;;;;;
2022-06-01;2022-06-01;Traffic||Branding geral||Dezembro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-31;0;;0;;;;;;;;;;;;;;
2022-06-01;2022-06-01;Traffic||Branding geral||Dezembro;archived;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2021-12-09;0;;0;;;;;;;;;;;;;;
2022-05-31;2022-05-31;Traffic||Branding geral||Dinamic_full_time;active;130;Diário;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;Contínuo;0;;0;;;;;;;;;;;;;;
2022-05-31;2022-05-31;Traffic||Branding geral||Maio(Dinamic_test);completed;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;59;actions:link_click;14492;20818;0,977627;57,68;2022-06-05;1,436517;58;0,355462;4603;0,012531;1906;0,030262;553;491,6723;0,317624;0,131521;0,106816;0,25796;17208,5305;298,344842;860,426525;14,917242
2022-05-31;2022-05-31;Traffic||Prospection ||Limoeiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-09;0;;0;;;;;;;;;;;;;;
2022-05-31;2022-05-31;Retention || Camp_apoio || Teste;completed;500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-07;0;;0;;;;;;;;;;;;;;
2022-05-31;2022-05-31;Traffic||Branding geral||Abril;completed;1500;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-05-02;0;;0;;;;;;;;;;;;;;
2022-05-31;2022-05-31;Traffic||Branding geral||Março;not_delivering;2000;Vitalício;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-04-01;0;;0;;;;;;;;;;;;;;
2022-05-31;2022-05-31;App installs||Marketing_geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 1 dia ou visualização de 1 dia;;;0;0;;0;2022-02-19;0;;0;;;;;;;;;;;;;;
2022-05-31;2022-05-31;Traffic||Branding geral||Fevereiro;completed;Usando orçamento do conjunto de anúncios;0;Clique de 7 dias ou visualização de 1 dia;;;0;0;;0;2022-03-04;0;;0;;;;;;;;;;;;;;
